Intervention,n,a,b,total_c,direct_cprime,indirect,indirect_lo,indirect_hi,prop_mediated,prop_lo,prop_hi
Diet quality,153,0.06530480412507503,-0.1545866081607905,1.1552306293847172,1.1653258775510182,-0.010095248166300148,-0.2942029181705475,0.2543756065021003,-0.008738729661000193,-0.39824125206555155,0.49667583745749644
Sleep duration (h),156,0.004841502552630852,0.10719067470846522,0.3654700184607875,0.36495105453556465,0.0005189639252192577,-0.1532152492527428,0.13079751945921894,0.0014199904205683537,-0.914309198232548,1.1016648013736183
Physical activity (min/wk),156,5.6616122591699726e-05,0.19529724866953524,-0.0005010113758814794,-0.0005120683488538706,1.1056972972496073e-05,-0.00024379857636026888,0.0002864528412011702,-0.022069305218953235,-1.889593445591336,1.6645197228893551
